day,x,y,z
100,-8.181890515925079E11,-4.96929991077418E11,1.3535435396704681E7
101,-8.247622185375671E11,-5.0154419083929236E11,1.3587010872515466E7
102,-8.313344766022538E11,-5.061578369146947E11,1.3638579870582715E7
103,-8.379058409752484E11,-5.1077093790636847E11,1.3690142490458926E7
104,-8.444763264666344E11,-5.153835022179342E11,1.3741698829395568E7
105,-8.510459475203956E11,-5.199955380599828E11,1.3793248982417192E7
106,-8.576147182264032E11,-5.24607053455938E11,1.3844793042392366E7
107,-8.641826523319141E11,-5.2921805624769855E11,1.38963311001016E7
108,-8.707497632526073E11,-5.338285541010695E11,1.394786324430243E7
109,-8.773160640831781E11,-5.3843855451099243E11,1.3999389561791811E7
110,-8.838815676075126E11,-5.430480648065832E11,1.4050910137465961E7
111,-8.904462863084619E11,-5.476570921559857E11,1.4102425054377802E7
112,-8.970102323772344E11,-5.522656435710499E11,1.4153934393792111E7
113,-9.035734177224247E11,-5.568737259118408E11,1.4205438235238517E7
114,-9.101358539786951E11,-5.614813458909868E11,1.4256936656562429E7
115,-9.166975525151262E11,-5.660885100778734E11,1.4308429733974028E7
116,-9.232585244432516E11,-5.706952249026892E11,1.4359917542095387E7
117,-9.298187806247899E11,-5.753014966603301E11,1.4411400154005837E7
118,-9.363783316790898E11,-5.799073315141676E11,1.4462877641285649E7
119,-9.429371879902985E11,-5.845127354996874E11,1.451435007405813E7
120,-9.494953597142667E11,-5.891177145280027E11,1.4565817521030184E7
121,-9.560528567852032E11,-5.937222743892483E11,1.4617280049531417E7
122,-9.626096889220872E11,-5.983264207558593E11,1.466873772555185E7
123,-9.6916586563485E11,-6.029301591857397E11,1.4720190613778282E7
124,-9.757213962303376E11,-6.075334951253262E11,1.4771638777629375E7
125,-9.82276289818061E11,-6.12136433912548E11,1.4823082279289484E7
126,-9.888305553157437E11,-6.167389807796918E11,1.48745211797413E7
127,-9.953842014546765E11,-6.21341140856171E11,1.4925955538797343E7
128,-1.0019372367848865E12,-6.259429191712057E11,1.4977385415130341E7
129,-1.0084896696801267E12,-6.305443206564156E11,1.5028810866302554E7
130,-1.0150415083426968E12,-6.351453501483304E11,1.5080231948794056E7
131,-1.0215927608080984E12,-6.39746012390819E11,1.5131648718030041E7
132,-1.0281434349495345E12,-6.443463120374421E11,1.5183061228407186E7
133,-1.0346935384822574E12,-6.489462536537314E11,1.5234469533319114E7
134,-1.0412430789677719E12,-6.53545841719396E11,1.528587368518102E7
135,-1.0477920638178995E12,-6.58145080630461E11,1.5337273735453473E7
136,-1.0543405002987096E12,-6.627439747013402E11,1.538866973466548E7
137,-1.0608883955343213E12,-6.673425281668441E11,1.5440061732436799E7
138,-1.0674357565105829E12,-6.719407451841273E11,1.5491449777499588E7
139,-1.0739825900786323E12,-6.765386298345767E11,1.554283391771939E7
140,-1.080528902958344E12,-6.811361861256418E11,1.559421420011549E7
141,-1.0870747017416653E12,-6.857334179926118E11,1.5645590670880688E7
